DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
1847,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1848,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1849,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1850,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1851,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1852,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1853,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1854,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1855,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1856,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1857,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1858,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1859,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1860,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1861,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1862,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1863,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1864,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1865,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1866,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1867,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1868,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1869,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1870,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1871,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1872,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1873,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1874,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1875,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1876,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1877,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1878,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1879,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1880,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1881,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1882,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1883,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1884,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1885,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1886,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
1887,1,0,0,0.286123,0.11129,-0.009979188,-0.1504495,-0.09187433,-0.04202616,0.01219032,0.0498,0.0103,0.013,0,0.0245,0.035,0,0.091,0.1839,0.3809,0.4305,0.0951,0.0477,0,0.03,0.1017,0.2921,0.2575,0.2714,0.318,0,0,0,0.02015,0.0403,0.06045,0.0806,0.1609,0.1838,0.2234,0.457,0.5772,0.451467,0.325733,0.1914003,0.1618403,0.2021526,0.2021526,0.2021526,0.2021526,0.5111715,3,2,10,0.459,0.081,0.3592822,0.3850912,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,18.75829
